id,disease_type,class_label,location,findings,impression
1,Brain_tumor,meningioma,Parasagittal / Right Parietal,"A series of T1 and T2 weighted tomograms visualize a well-circumscribed, extra-axial focal mass in the right parasagittal parietal region. Significant thickening of the adjacent dura mater (dural tail sign) is noted. The mass effect causes mild inward displacement of the adjacent cortex without infiltration.",Findings consistent with a parasagittal meningioma.
2,Brain_tumor,meningioma,Sphenoid Wing / Temporal,"Extra-axial formation noted along the left sphenoid wing. The mass is isointense on T1 and shows intense, homogeneous contrast accumulation. Midline structures remain centered, but there is compression of the adjacent temporal lobe white matter with minimal perifocal edema.",MRI picture of a sphenoid wing meningioma.
3,Brain_tumor,meningioma,Olfactory Groove / Frontal,Solid formation of round shape located in the olfactory groove area. The mass effect is characterized by upward displacement of the frontal lobes. The internal auditory canals and orbits remain without peculiarities. Basal cisterns are slightly narrowed but not deformed.,Suggestive of an olfactory groove meningioma.
4,Brain_tumor,meningioma,Cerebellopontine Angle,"Extra-axial mass detected in the left cerebellopontine angle, distinct from the VII and VIII cranial nerve complexes. The mass shows clear contours and stretches the adjacent cerebellar folia. Fourth ventricle and midline structures are not displaced.",Consistent with a meningioma of the cerebellopontine angle.
5,Brain_tumor,glioma,Left Frontal Lobe,"A series of MR tomograms visualize an infiltrative focal mass in the left frontal lobe with ill-defined borders. Extensive zone of vasogenic edema noted in the surrounding white matter, causing significant mass effect with compression of the left lateral ventricle and a 4mm midline shift to the right.",Findings suggestive of a high-grade glioma with significant mass effect.
6,Brain_tumor,glioma,Right Temporal Lobe,"Focal formation noted in the right temporal lobe, hyperintense on T2 and FLAIR. The lesion shows heterogeneous peripheral ""ring"" contrast accumulation. Perilesional edema spreads along the temporal horn, which appears partially effaced. No restricted diffusion noted on DWI in the central necrotic component.",MRI picture consistent with a malignant glioma (likely Glioblastoma).
7,Brain_tumor,glioma,Right Parietal Lobe,Intra-axial mass detected in the subcortical white matter of the right parietal lobe. The mass is isointense on T1 and shows diffuse contrast accumulation. There is associated swelling of the adjacent gyri and narrowing of the subarachnoid convexital spaces due to local mass effect.,Suggestive of an infiltrative glial tumor.
8,Brain_tumor,glioma,Brainstem / Pons,Expanded appearance of the pons due to a poorly demarcated infiltrative lesion. The mass is hyperintense on FLAIR sequences and involves the surrounding brainstem structures. The IVth ventricle is moderately deformed but not obstructed. Basal cisterns are slightly narrowed.,Consistent with a diffuse intrinsic pontine glioma.
9,Brain_tumor,pituitary,Sellar / Suprasellar,"A series of MR tomograms visualize a solid formation in the sellar region. The mass effect is characterized by upward expansion into the suprasellar cistern, causing mild flattening of the optic chiasm. The pituitary funnel is displaced to the left. No invasion into the cavernous sinuses noted.",Findings suggestive of a pituitary macroadenoma.
10,Brain_tumor,pituitary,Intrasellar,"Focal formation detected within the right wing of the pituitary gland, measuring 0.8 cm. The lesion is hypointense on T1 compared to the surrounding normal pituitary tissue. The sella turcica is not expanded, and the chiasmal area remains featureless with normal signal.",MRI picture consistent with a pituitary microadenoma.
11,Brain_tumor,pituitary,Sellar Region,"Volumetric formation noted in the sellar region with extension into the right cavernous sinus. The internal carotid artery is partially encircled but not stenosed. The chiasmal cistern is narrow, and the upper contour of the formation is in close contact with the chiasm.",Suggestive of a macroadenoma with parasellar extension.
12,Brain_tumor,pituitary,Sellar / Suprasellar,"Heterogeneous mass identified in the expanded sella turcica with cystic components. The formation is hyperintense on T2 and shows peripheral contrast enhancement. The pituitary gland is not separately visualized, appearing incorporated into the mass.",Consistent with a cystic pituitary lesion/adenoma.
13,Brain_tumor,no_tumor,N/A,"A series of T1, T2, and FLAIR-weighted MR tomograms visualized supra- and infratentorial structures. The cortex and white matter of the brain are properly developed. No focal changes or diffusion restriction areas were detected in the brain substance. Lateral ventricles are symmetrical and the size is within the age normometry.",No MR evidence for the presence of focal changes in the brain.
14,Brain_tumor,no_tumor,N/A,"Midline structures are not displaced. The ventricular system has a normal configuration without periventricular infiltration. The subarachnoid convexital spaces, sulci, and lateral brain slits are not dilated. No additional masses in the area of the pontocerebellar angles were detected.",Normal MRI of the brain.
15,Brain_tumor,no_tumor,Sellar Region,Chiasmal area is featureless; the pituitary gland is not enlarged in size and the pituitary tissue has a normal signal. The chiasmal cistern is not changed and the pituitary funnel is not displaced. Parasellar structures are without features. Basal cisterns are not dilated.,No pathology detected in the sellar or parasellar regions.
16,Brain_tumor,no_tumor,Infratentorial,The cerebellum is of normal shape with preserved differentiation of gray and white matter. The cerebellar tonsils are located at the level of the greater occipital foramen. The internal auditory canals are not dilated. The craniovertebral junction is without pathology.,Normal appearance of the infratentorial structures and cerebellum.
19,Chest_diseases,non_covid,Upper Zone,Small left apical lateral pneumothorax is noted. There is mild volume loss and pleural thickening. The right lung remains clear.,Small left apical pneumothorax.
20,Chest_diseases,non_covid,Upper Zone,A tiny apical pneumothorax is present. Right-sided atelectasis is also noted. The left lung is essentially clear with normal cardiac size.,Minimal apical pneumothorax with associated atelectasis.
